id,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,title,release_date,developer,genres,multiplayer_or_singleplayer,price,dc_price,overall_review,detailed_review,reviews,percent_positive,win_support,mac_support,lin_support
15695,Syberia II,PC,2004,Adventure,MC2 Entertainment,0.0,0.01,0.0,0.0,0.02,Battle Group 2,2014-06-13,Bane Games,Action;Indie;Strategy,Single-player,349.0,349.0,Positive,Mostly Positive,31.0,70,1,1,1
15696,SD Gundam Force,GBA,2004,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0,0.02,Worlds,2016-03-01,Curious Planet,Action;Adventure;Indie,Single-player,369.0,369.0,Positive,Positive,23.0,86,1,0,1
15697,Mechanic Master 2,DS,2010,Puzzle,Crave Entertainment,0.02,0.0,0.0,0.0,0.02,Cleansuit,2017-11-01,Goblin Council,Violent;Gore;Indie,Single-player,165.0,165.0,Positive,Mostly Positive,79.0,73,1,1,0
15704,GA - Geijutsuka Art Design Class: Slapstick Wonder Land,PSP,2010,Adventure,Russel,0.0,0.0,0.02,0.0,0.02,Ostrich Island,2015-01-08,MeDungeon Ltd.,Adventure;Casual;Indie;RPG,Single-player,259.0,259.0,Positive,Very Positive,406.0,85,1,1,1
15707,Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007,Misc,D3Publisher,0.01,0.0,0.0,0.0,0.02,Tumbleweed Express,2016-05-31,"The Dirigiballers, LLC",Action;Adventure;Indie,Single-player,165.0,165.0,Positive,Very Positive,56.0,92,1,1,1
15709,Pirates: Legend of the Black Buccaneer,PS2,2006,Adventure,10TACLE Studios,0.01,0.01,0.0,0.0,0.02,Alien Attack,2016-06-21,Alien Jellyfish,Action;Adventure;Casual;Indie;Simulation,Single-player,119.0,119.0,Positive,Positive,42.0,95,1,0,0
15712,Ultraman Star Chronicles,PSP,2013,Strategy,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,Eschalon: Book II,2010-07-12,Basilisk Games,Indie;RPG,Single-player,219.0,219.0,Positive,Very Positive,157.0,89,1,1,1
15713,Ginga Tetsudou 999 DS,DS,2010,Adventure,Culture Brain,0.0,0.0,0.02,0.0,0.02,The Wilting Amaranth,2018-06-04,Reine Works,Casual,Single-player,199.0,199.0,Positive,Mixed,60.0,48,1,1,1
15715,Amagoushi no Yakata,PS2,2007,Adventure,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02,Warp,2012-03-21,Trapdoor Inc.,Action;Adventure;Indie,Single-player,369.0,369.0,Mixed,Mostly Positive,18.0,72,1,0,0
15716,Aedis Eclipse: Generation of Chaos,PSP,2006,Role-Playing,Idea Factory,0.02,0.0,0.0,0.0,0.02,CreaVures,2011-02-23,Muse Games,Indie,Single-player,199.0,199.0,Positive,Very Positive,1534.0,82,1,1,0
